open	high	low	close	volume	macd	signal	position	pct change	strategy_returns	cumulative_returns
2642.56	2642.75	2642.18	2642.61	120.9043	1.0905790086076195	1	0.0	1.892104625822455e-05	0.0	0.0047699809200763
2642.6	2642.95	2642.6	2642.95	28.1787	1.1873035399994478	1	0.0	0.0001286606801607082	0.0	0.0047699809200763
2642.94	2643.02	2642.94	2642.94	93.2038	1.2278373782105518	1	0.0	-3.783650844635389e-06	-0.0	0.0047699809200763
2642.94	2644.78	2642.94	2644.62	85.5366	1.6039021571400554	1	0.0	0.0006356557470088564	0.0	0.0047699809200763
2644.62	2644.62	2642.0	2642.01	244.2252	1.24829747656986	1	0.0	-0.0009869092724095196	-0.0	0.0047699809200763
2642.01	2642.6	2641.42	2641.87	109.2133	0.9567036121043202	1	0.0	-5.298995840297138e-05	-0.0	0.0047699809200763
2641.87	2642.49	2641.86	2642.23	102.2834	0.8238560323993624	1	0.0	0.00013626711382475065	0.0	0.0047699809200763
2642.23	2642.37	2641.86	2642.37	57.7253	0.7508683679443493	1	0.0	5.298554629984409e-05	0.0	0.0047699809200763
2642.37	2642.87	2642.0	2642.01	99.0783	0.6086255807654197	1	0.0	-0.00013624132880696305	-0.0	0.0047699809200763
2642.0	2642.54	2642.0	2642.54	58.3782	0.6195946754014585	1	0.0	0.00020060484252515387	0.0	0.0047699809200763
2642.54	2642.54	2641.5	2641.96	262.0674	0.48720822388349916	1	0.0	-0.00021948579775521448	-0.0	0.0047699809200763
2641.96	2641.96	2641.95	2641.96	16.9003	0.38976643417981904	1	0.0	0.0	0.0	0.0047699809200763
2641.95	2642.12	2641.38	2641.63	154.2434	0.24447553443906145	1	0.0	-0.00012490726581781963	-0.0	0.0047699809200763
2641.62	2641.63	2641.31	2641.6	5.917	0.13624934734161798	1	0.0	-1.1356624508462865e-05	-0.0	0.0047699809200763
2641.59	2642.17	2641.59	2642.17	32.6726	0.18750375048193746	1	0.0	0.0002157783161720328	0.0	0.0047699809200763
2642.17	2642.38	2640.8	2641.47	196.0762	0.06345708436856512	1	0.0	-0.00026493374763936206	-0.0	0.0047699809200763
2641.47	2641.47	2640.25	2640.26	58.5992	-0.2882507263407206	-1	-2.0	-0.0004580782670253747	0.02748469602152248	0.03225467694159878
2640.26	2641.19	2640.25	2641.09	62.8943	-0.33435501043049953	-1	0.0	0.0003143629794035707	0.0	0.03225467694159878
2641.09	2643.4	2640.63	2643.36	140.5193	0.14312102113035508	1	2.0	0.0008594936181651747	0.05156961708991048	0.08382429403150926
2643.36	2643.36	2642.5	2642.57	42.8966	0.28478710634590243	1	0.0	-0.0002988620543550313	-0.0	0.08382429403150926
2642.57	2642.57	2641.79	2642.34	126.7425	0.3233236682394818	1	0.0	-8.703648342334169e-05	-0.0	0.08382429403150926
2642.34	2642.34	2641.0	2641.0	47.88	0.0467084922097456	1	0.0	-0.0005071262593004944	-0.0	0.08382429403150926
2641.01	2641.23	2639.4	2640.03	195.0592	-0.35354973126140976	-1	-2.0	-0.00036728511927297536	0.02203710715637852	0.10586140118788778
2640.04	2641.78	2640.03	2640.33	69.1543	-0.5481268901471594	-1	0.0	0.00011363507232853287	0.0	0.10586140118788778
2640.33	2640.76	2640.0	2640.0	90.1816	-0.7410355559436539	-1	0.0	-0.00012498437695285247	-0.0	0.10586140118788778
2640.0	2640.25	2639.74	2639.75	73.5145	-0.9115775574036888	-1	0.0	-9.469696969699459e-05	-0.0	0.10586140118788778
